Company,Symbol,BalanceSheetURL,ProfitLossURL
20 Microns Limited,20MICRONS,https://www.moneycontrol.com/financials/20micronslimited/balance-sheetVI/20MICRONS#20MICRONS,https://www.moneycontrol.com/financials/20micronslimited/profit-lossVI/20MICRONS#20MICRONS
21st Century Management Services Limited,21STCENMGM,https://www.moneycontrol.com/financials/21stcenturymanagementserviceslimited/balance-sheetVI/21STCENMGM#21STCENMGM,https://www.moneycontrol.com/financials/21stcenturymanagementserviceslimited/profit-lossVI/21STCENMGM#21STCENMGM
3i Infotech Limited,3IINFOTECH,https://www.moneycontrol.com/financials/3iinfotechlimited/balance-sheetVI/3IINFOTECH#3IINFOTECH,https://www.moneycontrol.com/financials/3iinfotechlimited/profit-lossVI/3IINFOTECH#3IINFOTECH
3M India Limited,3MINDIA,https://www.moneycontrol.com/financials/3mindialimited/balance-sheetVI/3MINDIA#3MINDIA,https://www.moneycontrol.com/financials/3mindialimited/profit-lossVI/3MINDIA#3MINDIA
3P Land Holdings Limited,3PLAND,https://www.moneycontrol.com/financials/3plandholdingslimited/balance-sheetVI/3PLAND#3PLAND,https://www.moneycontrol.com/financials/3plandholdingslimited/profit-lossVI/3PLAND#3PLAND
5Paisa Capital Limited,5PAISA,https://www.moneycontrol.com/financials/5paisacapitallimited/balance-sheetVI/5PAISA#5PAISA,https://www.moneycontrol.com/financials/5paisacapitallimited/profit-lossVI/5PAISA#5PAISA
63 moons technologies limited,63MOONS,https://www.moneycontrol.com/financials/63moonstechnologieslimited/balance-sheetVI/63MOONS#63MOONS,https://www.moneycontrol.com/financials/63moonstechnologieslimited/profit-lossVI/63MOONS#63MOONS
8K Miles Software Services Limited,8KMILES,https://www.moneycontrol.com/financials/8kmilessoftwareserviceslimited/balance-sheetVI/8KMILES#8KMILES,https://www.moneycontrol.com/financials/8kmilessoftwareserviceslimited/profit-lossVI/8KMILES#8KMILES
A2Z Infra Engineering Limited,A2ZINFRA,https://www.moneycontrol.com/financials/a2zinfraengineeringlimited/balance-sheetVI/A2ZINFRA#A2ZINFRA,https://www.moneycontrol.com/financials/a2zinfraengineeringlimited/profit-lossVI/A2ZINFRA#A2ZINFRA
Aakash Exploration Services Limited,AAKASH,https://www.moneycontrol.com/financials/aakashexplorationserviceslimited/balance-sheetVI/AAKASH#AAKASH,https://www.moneycontrol.com/financials/aakashexplorationserviceslimited/profit-lossVI/AAKASH#AAKASH
Aaron Industries Limited,AARON,https://www.moneycontrol.com/financials/aaronindustrieslimited/balance-sheetVI/AARON#AARON,https://www.moneycontrol.com/financials/aaronindustrieslimited/profit-lossVI/AARON#AARON
Aarti Drugs Limited,AARTIDRUGS,https://www.moneycontrol.com/financials/aartidrugslimited/balance-sheetVI/AARTIDRUGS#AARTIDRUGS,https://www.moneycontrol.com/financials/aartidrugslimited/profit-lossVI/AARTIDRUGS#AARTIDRUGS
Aarti Industries Limited,AARTIIND,https://www.moneycontrol.com/financials/aartiindustrieslimited/balance-sheetVI/AARTIIND#AARTIIND,https://www.moneycontrol.com/financials/aartiindustrieslimited/profit-lossVI/AARTIIND#AARTIIND
Aarti Surfactants Limited,AARTISURF,https://www.moneycontrol.com/financials/aartisurfactantslimited/balance-sheetVI/AARTISURF#AARTISURF,https://www.moneycontrol.com/financials/aartisurfactantslimited/profit-lossVI/AARTISURF#AARTISURF
Aarvee Denims & Exports Limited,AARVEEDEN,https://www.moneycontrol.com/financials/aarveedenimsexportslimited/balance-sheetVI/AARVEEDEN#AARVEEDEN,https://www.moneycontrol.com/financials/aarveedenimsexportslimited/profit-lossVI/AARVEEDEN#AARVEEDEN
Aarvi Encon Limited,AARVI,https://www.moneycontrol.com/financials/aarvienconlimited/balance-sheetVI/AARVI#AARVI,https://www.moneycontrol.com/financials/aarvienconlimited/profit-lossVI/AARVI#AARVI
Aavas Financiers Limited,AAVAS,https://www.moneycontrol.com/financials/aavasfinancierslimited/balance-sheetVI/AAVAS#AAVAS,https://www.moneycontrol.com/financials/aavasfinancierslimited/profit-lossVI/AAVAS#AAVAS
Aban Offshore Limited,ABAN,https://www.moneycontrol.com/financials/abanoffshorelimited/balance-sheetVI/ABAN#ABAN,https://www.moneycontrol.com/financials/abanoffshorelimited/profit-lossVI/ABAN#ABAN
ABB India Limited,ABB,https://www.moneycontrol.com/financials/abbindialimited/balance-sheetVI/ABB#ABB,https://www.moneycontrol.com/financials/abbindialimited/profit-lossVI/ABB#ABB
Abbott India Limited,ABBOTINDIA,https://www.moneycontrol.com/financials/abbottindialimited/balance-sheetVI/ABBOTINDIA#ABBOTINDIA,https://www.moneycontrol.com/financials/abbottindialimited/profit-lossVI/ABBOTINDIA#ABBOTINDIA
Aditya Birla Capital Limited,ABCAPITAL,https://www.moneycontrol.com/financials/adityabirlacapitallimited/balance-sheetVI/ABCAPITAL#ABCAPITAL,https://www.moneycontrol.com/financials/adityabirlacapitallimited/profit-lossVI/ABCAPITAL#ABCAPITAL
Aditya Birla Fashion and Retail Limited,ABFRL,https://www.moneycontrol.com/financials/adityabirlafashionandretaillimited/balance-sheetVI/ABFRL#ABFRL,https://www.moneycontrol.com/financials/adityabirlafashionandretaillimited/profit-lossVI/ABFRL#ABFRL
